,Si-H (stretch)
0cb_0s_2,0.9568424417635901
5e-3_0s,1.0624374306616604
0cb_10s,0.9115498912768537
5e-3_10s,0.9394431572636571
0cb_20s,0.9278629981090807
5e-3_20s,0.9206139230956885
0cb_30s,0.8675108274681194
5e-3_30s,0.8846008037150586
0cb_40s,0.8684796095849905
5e-3_40s,0.8317979533200517
0cb_50s,0.8661244797669122
5e-3_50s,0.7700625331053295
5e-3_1min,0.785069639576814
0cb_2min,0.8462081124221336
5e-3_2min,0.7613789020566561
0cb_3min,0.8321102638596893
5e-3_3min,0.7781876142768676
0cb_5min,0.8259554273806416
5e-3_5min,0.5939832728150962
0cb_7-5min,0.7926401258042406
5e-3_7-5min,0.486135096925124
0cb_10min,0.7533949865977287
5e-3_10min,0.46843728072322094
0cb_15min,0.72600582794516
5e-3_15min,0.31990530641996545
0cb_20min,0.6903405481467113
5e-3_20min,0.2624447642094749
0cb_25min,0.6604366945251912
5e-3_25min,0.25105980167078046
