Created as New Dataset,Sample 026 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,98.91
3999.75,98.91
3999.50,98.90
3999.25,98.89
3999.00,98.88
3998.75,98.87
3998.50,98.88
3998.25,98.89
3998.00,98.89
3997.75,98.90
3997.50,98.90
3997.25,98.90
3997.00,98.90
3996.75,98.89
3996.50,98.89
3996.25,98.88
3996.00,98.88
3995.75,98.88
3995.50,98.89
3995.25,98.89
3995.00,98.90
3994.75,98.90
3994.50,98.90
3994.25,98.90
3994.00,98.89
3993.75,98.90
3993.50,98.89
3993.25,98.89
3993.00,98.89
3992.75,98.88
3992.50,98.89
3992.25,98.89
3992.00,98.89
3991.75,98.90
3991.50,98.89
3991.25,98.89
3991.00,98.89
3990.75,98.89
3990.50,98.90
3990.25,98.91
3990.00,98.91
3989.75,98.92
3989.50,98.91
3989.25,98.90
3989.00,98.90
3988.75,98.90
3988.50,98.90
3988.25,98.90
3988.00,98.90
3987.75,98.90
3987.50,98.90
3987.25,98.91
3987.00,98.91
3986.75,98.91
3986.50,98.92
3986.25,98.92
3986.00,98.92
3985.75,98.91
3985.50,98.91
3985.25,98.91
3985.00,98.91
3984.75,98.92
3984.50,98.92
3984.25,98.92
3984.00,98.92
3983.75,98.92
3983.50,98.92
3983.25,98.92
3983.00,98.92
3982.75,98.91
3982.50,98.91
3982.25,98.90
3982.00,98.90
3981.75,98.91
3981.50,98.91
3981.25,98.91
3981.00,98.92
3980.75,98.92
3980.50,98.93
3980.25,98.93
3980.00,98.93
3979.75,98.93
3979.50,98.93
3979.25,98.93
3979.00,98.93
3978.75,98.93
3978.50,98.92
3978.25,98.92
3978.00,98.92
3977.75,98.92
3977.50,98.92
3977.25,98.93
3977.00,98.93
3976.75,98.93
3976.50,98.93
3976.25,98.94
3976.00,98.94
3975.75,98.93
3975.50,98.93
3975.25,98.92
3975.00,98.92
3974.75,98.92
3974.50,98.92
3974.25,98.91
3974.00,98.91
3973.75,98.91
3973.50,98.92
3973.25,98.92
3973.00,98.93
3972.75,98.94
3972.50,98.94
3972.25,98.94
3972.00,98.95
3971.75,98.95
3971.50,98.95
3971.25,98.95
3971.00,98.94
3970.75,98.94
3970.50,98.93
3970.25,98.93
3970.00,98.93
3969.75,98.93
3969.50,98.93
3969.25,98.94
3969.00,98.94
3968.75,98.94
3968.50,98.94
3968.25,98.94
3968.00,98.94
3967.75,98.94
3967.50,98.94
3967.25,98.93
3967.00,98.93
3966.75,98.94
3966.50,98.94
3966.25,98.94
3966.00,98.94
3965.75,98.94
3965.50,98.95
3965.25,98.95
3965.00,98.96
3964.75,98.96
3964.50,98.96
3964.25,98.97
3964.00,98.97
3963.75,98.98
3963.50,98.98
3963.25,98.97
3963.00,98.96
3962.75,98.96
3962.50,98.96
3962.25,98.96
3962.00,98.95
3961.75,98.95
3961.50,98.94
3961.25,98.93
3961.00,98.93
3960.75,98.95
3960.50,98.96
3960.25,98.97
3960.00,98.97
3959.75,98.95
3959.50,98.94
3959.25,98.93
3959.00,98.94
3958.75,98.94
3958.50,98.94
3958.25,98.94
3958.00,98.94
3957.75,98.95
3957.50,98.95
3957.25,98.96
3957.00,98.96
3956.75,98.96
3956.50,98.97
3956.25,98.97
3956.00,98.96
3955.75,98.95
3955.50,98.94
3955.25,98.93
3955.00,98.94
3954.75,98.95
3954.50,98.96
3954.25,98.97
3954.00,98.98
3953.75,98.98
3953.50,98.98
3953.25,98.98
3953.00,98.97
3952.75,98.97
3952.50,98.97
3952.25,98.97
3952.00,98.97
3951.75,98.97
3951.50,98.97
3951.25,98.97
3951.00,98.97
3950.75,98.97
3950.50,98.96
3950.25,98.96
3950.00,98.95
3949.75,98.95
3949.50,98.95
3949.25,98.95
3949.00,98.95
3948.75,98.95
3948.50,98.96
3948.25,98.97
3948.00,98.98
3947.75,98.99
3947.50,98.99
3947.25,98.98
3947.00,98.97
3946.75,98.96
3946.50,98.96
3946.25,98.96
3946.00,98.96
3945.75,98.96
3945.50,98.96
3945.25,98.97
3945.00,98.97
3944.75,98.97
3944.50,98.97
3944.25,98.97
3944.00,98.97
3943.75,98.97
3943.50,98.97
3943.25,98.98
3943.00,98.98
3942.75,98.98
3942.50,98.98
3942.25,98.97
3942.00,98.96
3941.75,98.96
3941.50,98.96
3941.25,98.97
3941.00,98.97
3940.75,98.97
3940.50,98.97
3940.25,98.96
3940.00,98.96
3939.75,98.97
3939.50,98.98
3939.25,98.98
3939.00,98.98
3938.75,98.98
3938.50,98.97
3938.25,98.97
3938.00,98.97
3937.75,98.98
3937.50,98.98
3937.25,98.98
3937.00,98.98
3936.75,98.98
3936.50,98.97
3936.25,98.97
3936.00,98.97
3935.75,98.97
3935.50,98.98
3935.25,98.98
3935.00,98.98
3934.75,98.97
3934.50,98.97
3934.25,98.97
3934.00,98.98
3933.75,98.98
3933.50,98.98
3933.25,98.97
3933.00,98.98
3932.75,98.98
3932.50,98.99
3932.25,98.99
3932.00,98.99
3931.75,98.99
3931.50,98.99
3931.25,98.99
3931.00,98.99
3930.75,98.98
3930.50,98.98
3930.25,98.97
3930.00,98.97
3929.75,98.97
3929.50,98.97
3929.25,98.97
3929.00,98.98
3928.75,98.99
3928.50,99.00
3928.25,99.00
3928.00,99.00
3927.75,98.99
3927.50,98.98
3927.25,98.98
3927.00,98.98
3926.75,98.98
3926.50,98.97
3926.25,98.97
3926.00,98.98
3925.75,98.99
3925.50,98.99
3925.25,98.98
3925.00,98.98
3924.75,98.98
3924.50,98.98
3924.25,98.99
3924.00,98.98
3923.75,98.98
