Created as New Dataset,Sample 016 By irlear Date Monday, April 27 2009
cm-1,%T
4000.00,102.88
3999.75,102.88
3999.50,102.88
3999.25,102.87
3999.00,102.86
3998.75,102.85
3998.50,102.85
3998.25,102.85
3998.00,102.86
3997.75,102.86
3997.50,102.87
3997.25,102.87
3997.00,102.87
3996.75,102.87
3996.50,102.87
3996.25,102.88
3996.00,102.88
3995.75,102.87
3995.50,102.87
3995.25,102.87
3995.00,102.87
3994.75,102.87
3994.50,102.87
3994.25,102.87
3994.00,102.88
3993.75,102.89
3993.50,102.89
3993.25,102.88
3993.00,102.88
3992.75,102.88
3992.50,102.88
3992.25,102.89
3992.00,102.89
3991.75,102.89
3991.50,102.88
3991.25,102.87
3991.00,102.87
3990.75,102.87
3990.50,102.87
3990.25,102.88
3990.00,102.89
3989.75,102.89
3989.50,102.88
3989.25,102.87
3989.00,102.86
3988.75,102.86
3988.50,102.86
3988.25,102.86
3988.00,102.87
3987.75,102.87
3987.50,102.88
3987.25,102.88
3987.00,102.89
3986.75,102.89
3986.50,102.89
3986.25,102.90
3986.00,102.90
3985.75,102.89
3985.50,102.89
3985.25,102.88
3985.00,102.87
3984.75,102.87
3984.50,102.87
3984.25,102.87
3984.00,102.88
3983.75,102.88
3983.50,102.90
3983.25,102.91
3983.00,102.91
3982.75,102.90
3982.50,102.88
3982.25,102.87
3982.00,102.87
3981.75,102.88
3981.50,102.88
3981.25,102.88
3981.00,102.88
3980.75,102.88
3980.50,102.89
3980.25,102.90
3980.00,102.91
3979.75,102.91
3979.50,102.91
3979.25,102.90
3979.00,102.89
3978.75,102.87
3978.50,102.87
3978.25,102.86
3978.00,102.86
3977.75,102.86
3977.50,102.87
3977.25,102.88
3977.00,102.89
3976.75,102.89
3976.50,102.89
3976.25,102.88
3976.00,102.89
3975.75,102.89
3975.50,102.90
3975.25,102.91
3975.00,102.90
3974.75,102.90
3974.50,102.89
3974.25,102.88
3974.00,102.87
3973.75,102.87
3973.50,102.87
3973.25,102.89
3973.00,102.89
3972.75,102.90
3972.50,102.90
3972.25,102.90
3972.00,102.90
3971.75,102.89
3971.50,102.89
3971.25,102.89
3971.00,102.89
3970.75,102.89
3970.50,102.89
3970.25,102.89
3970.00,102.89
3969.75,102.89
3969.50,102.89
3969.25,102.89
3969.00,102.89
3968.75,102.89
3968.50,102.89
3968.25,102.88
3968.00,102.88
3967.75,102.88
3967.50,102.89
3967.25,102.89
3967.00,102.90
3966.75,102.90
3966.50,102.90
3966.25,102.90
3966.00,102.90
3965.75,102.90
3965.50,102.89
3965.25,102.89
3965.00,102.89
3964.75,102.89
3964.50,102.90
3964.25,102.90
3964.00,102.91
3963.75,102.92
3963.50,102.92
3963.25,102.92
3963.00,102.91
3962.75,102.90
3962.50,102.90
3962.25,102.91
3962.00,102.91
3961.75,102.91
3961.50,102.90
3961.25,102.90
3961.00,102.89
3960.75,102.90
3960.50,102.91
3960.25,102.91
3960.00,102.90
3959.75,102.89
3959.50,102.89
3959.25,102.90
3959.00,102.91
3958.75,102.91
3958.50,102.91
3958.25,102.90
3958.00,102.90
3957.75,102.90
3957.50,102.91
3957.25,102.91
3957.00,102.91
3956.75,102.91
3956.50,102.91
3956.25,102.91
3956.00,102.90
3955.75,102.89
3955.50,102.88
3955.25,102.88
3955.00,102.89
3954.75,102.90
3954.50,102.91
3954.25,102.91
3954.00,102.91
3953.75,102.91
3953.50,102.91
3953.25,102.91
3953.00,102.91
3952.75,102.90
3952.50,102.90
3952.25,102.89
3952.00,102.90
3951.75,102.90
3951.50,102.90
3951.25,102.90
3951.00,102.90
3950.75,102.89
3950.50,102.89
3950.25,102.89
3950.00,102.90
3949.75,102.90
3949.50,102.91
3949.25,102.91
3949.00,102.91
3948.75,102.91
3948.50,102.91
3948.25,102.92
3948.00,102.93
3947.75,102.93
3947.50,102.93
3947.25,102.92
3947.00,102.91
3946.75,102.90
3946.50,102.90
3946.25,102.89
3946.00,102.89
3945.75,102.90
3945.50,102.91
3945.25,102.91
3945.00,102.91
3944.75,102.91
3944.50,102.90
3944.25,102.90
3944.00,102.90
3943.75,102.90
3943.50,102.90
3943.25,102.91
3943.00,102.91
3942.75,102.91
3942.50,102.92
3942.25,102.92
